event_time,site_cam,session,path,modality,event_type,sensor_id,confidence,is_timelapse
2025-06-30 12:34:02,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630123402_0088.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:34:39,TW02-CT03,SD03_20250630_20250703,thewilds_cameratraps_full\TW02-CT03\SD03_20250630_20250703\images\DSCF0008.JPG,camera,camera_image,TW02-CT03,,False
2025-06-30 12:34:40,TW02-CT03,SD03_20250630_20250703,thewilds_cameratraps_full\TW02-CT03\SD03_20250630_20250703\images\DSCF0009.JPG,camera,camera_image,TW02-CT03,,False
2025-06-30 12:34:40,TW02-CT03,SD03_20250630_20250703,thewilds_cameratraps_full\TW02-CT03\SD03_20250630_20250703\images\DSCF0010.JPG,camera,camera_image,TW02-CT03,,False
2025-06-30 12:35:01,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630123501_0091.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:35:01,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images_1\NSCF0002_250630123501_0090.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:35:02,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630123502_0092.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:36:01,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images_1\NSCF0002_250630123601_0095.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:36:01,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images_1\NSCF0002_250630123601_0094.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:36:02,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630123602_0096.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:37:01,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630123701_0098.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:37:01,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images_1\NSCF0002_250630123701_0099.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:37:02,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630123702_0100.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:38:01,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630123801_0103.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:38:01,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630123801_0102.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:38:02,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630123802_0104.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:39:01,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630123901_0106.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:39:01,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630123901_0107.JPG,camera,camera_image,TW01-CT02,,False
