event_time,site_cam,audio_path,modality,event_type,sensor_id,confidence,top_species,top_confidence,top_start_time,top_end_time
2025-06-30 20:25:07,TW05-SM01,thewilds_bioacousticmonitors_full\TW05-SM01\SD01_20250630_20250703\SM001_20250701_204402.wav,audio,audio_clip,TW05-SM01,0.8097476363182068,Quiscalus quiscula_Common Grackle,0.8097476363182068,78.0,81.0
2025-06-30 20:25:07,TW05-SM01,thewilds_bioacousticmonitors_full\TW05-SM01\SD01_20250630_20250703\SM001_20250701_204402.wav,audio,audio_clip,TW05-SM01,0.8097476363182068,Quiscalus quiscula_Common Grackle,0.8097476363182068,78.0,81.0
2025-06-30 20:25:07,TW05-SM01,thewilds_bioacousticmonitors_full\TW05-SM01\SD01_20250630_20250703\SM001_20250701_204402.wav,audio,audio_clip,TW05-SM01,0.8097476363182068,Quiscalus quiscula_Common Grackle,0.8097476363182068,78.0,81.0
2025-06-30 20:25:07,TW08-SM04,thewilds_bioacousticmonitors_full\TW08-SM04\SD04_20250630_20250703\SM04_20250701_080000.wav,audio,audio_clip,TW08-SM04,0.8041172027587891,Ammodramus savannarum_Grasshopper Sparrow,0.8041172027587891,261.0,264.0
2025-06-30 20:25:07,TW06-SM03,thewilds_bioacousticmonitors_full\TW06-SM03\SD03_20250630_20250703\SM03_20250701_010000.wav,audio,audio_clip,TW06-SM03,0.6555697917938232,Coccyzus americanus_Yellow-billed Cuckoo,0.6555697917938232,216.0,219.0
2025-06-30 20:25:07,TW05-SM01,thewilds_bioacousticmonitors_full\TW05-SM01\SD01_20250630_20250703\SM001_20250630_212902.wav,audio,audio_clip,TW05-SM01,0.9148344993591307,Turdus philomelos_Song Thrush,0.9148344993591307,177.0,180.0
2025-06-30 20:25:07,TW06-SM03,thewilds_bioacousticmonitors_full\TW06-SM03\SD03_20250630_20250703\SM03_20250701_110000.wav,audio,audio_clip,TW06-SM03,0.1774310171604156,Spinus spinus_Eurasian Siskin,0.1774310171604156,42.0,45.0
2025-06-30 20:25:07,TW08-SM04,thewilds_bioacousticmonitors_full\TW08-SM04\SD04_20250630_20250703\SM04_20250702_140000.wav,audio,audio_clip,TW08-SM04,0.7246862053871155,Geothlypis trichas_Common Yellowthroat,0.7246862053871155,147.0,150.0
2025-06-30 20:25:07,TW08-SM04,thewilds_bioacousticmonitors_full\TW08-SM04\SD04_20250630_20250703\SM04_20250630_200000.wav,audio,audio_clip,TW08-SM04,0.9612897038459778,Hirundo rustica_Barn Swallow,0.9612897038459778,105.0,108.0
2025-06-30 20:25:07,TW06-SM03,thewilds_bioacousticmonitors_full\TW06-SM03\SD03_20250630_20250703\SM03_20250702_010000.wav,audio,audio_clip,TW06-SM03,0.7581458687782288,Ardea alba_Great Egret,0.7581458687782288,114.0,117.0
